0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	1
17	1
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	1
35	1
36	2
37	1
38	1
39	1
40	0
41	0
42	1
43	1
44	1
45	1
46	1
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	1
58	1
59	1
60	1
61	1
62	1
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	2
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1
101	1
102	1
103	1
104	2
105	2
106	2
107	2
108	2
109	2
110	2
111	2
112	2
113	2
114	2
115	2
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	2
133	2
134	2
135	2
136	2
137	1
138	1
139	1
140	1
141	1
142	2
143	2
144	2
145	2
146	2
147	2
148	2
149	2
150	2
151	2
152	2
153	2
154	2
155	2
156	2
157	2
158	2
159	2
160	3
161	3
162	3
163	2
164	2
165	3
166	3
167	3
168	3
169	3
170	3
171	3
172	3
173	2
174	2
175	2
176	2
177	2
178	2
179	2
180	2
181	3
182	2
183	2
184	2
185	2
186	2
187	2
188	1
189	1
190	1
191	1
192	1
193	2
194	2
195	2
196	2
197	2
198	2
199	2
200	2
201	2
202	2
203	3
204	3
205	3
206	3
207	3
208	3
209	3
210	3
211	3
212	3
213	3
214	3
215	3
216	3
217	3
218	3
219	4
220	4
221	4
222	3
223	3
224	3
225	3
226	3
227	3
228	3
229	2
230	2
231	2
232	2
233	2
234	2
235	3
236	3
237	3
238	3
239	3
240	3
241	2
242	2
243	2
244	2
245	2
246	2
247	2
248	2
249	3
250	3
251	3
252	3
253	3
254	3
255	3
256	3
257	4
258	4
259	4
260	4
261	4
262	4
263	4
264	4
265	4
266	4
267	4
268	3
269	3
270	2
271	2
272	2
273	2
274	2
275	2
276	3
277	3
278	3
279	3
280	3
281	3
282	3
283	3
284	3
285	3
286	2
287	2
288	2
289	2
290	2
291	2
292	2
293	2
294	3
295	3
296	2
297	2
298	2
299	2
300	2
301	2
302	2
303	2
304	2
305	2
306	2
307	2
308	2
309	2
310	2
311	3
312	3
313	3
314	3
315	3
316	3
317	2
318	2
319	2
320	2
321	2
322	2
323	2
324	2
325	3
326	3
327	3
328	3
329	3
330	3
331	3
332	3
333	3
334	3
335	3
336	2
337	2
338	2
339	2
340	2
341	2
342	2
343	3
344	4
345	4
346	4
347	4
348	4
349	4
350	4
351	4
352	4
353	4
354	4
355	4
356	4
357	3
358	3
359	4
360	4
361	5
362	6
363	6
364	6
365	6
366	6
367	6
368	6
369	6
370	6
371	7
372	7
373	6
374	6
375	6
376	6
377	6
378	6
379	6
380	6
381	6
382	6
383	6
384	7
385	8
386	8
387	8
388	8
389	8
390	8
391	8
392	7
393	6
394	6
395	6
396	6
397	6
398	6
399	7
400	8
401	8
402	8
403	8
404	8
405	8
406	8
407	8
408	9
409	8
410	8
411	8
412	7
413	6
414	6
415	6
416	6
417	6
418	7
419	7
420	7
421	7
422	6
423	6
424	6
425	6
426	6
427	6
428	6
429	7
430	7
431	7
432	7
433	7
434	8
435	9
436	10
437	9
438	8
439	8
440	8
441	8
442	8
443	8
444	8
445	8
446	8
447	8
448	8
449	8
450	10
451	10
452	10
453	10
454	10
455	10
456	9
457	9
458	9
459	9
460	9
461	9
462	9
463	9
464	9
465	9
466	8
467	8
468	8
469	9
470	9
471	9
472	9
473	9
474	9
475	9
476	8
477	8
478	8
479	8
480	8
481	8
482	8
483	9
484	9
485	9
486	9
487	9
488	8
489	8
490	8
491	8
492	8
493	7
494	7
495	6
496	5
497	5
498	5
499	5
500	5
501	5
502	6
503	6
504	6
505	6
506	6
507	6
508	6
509	6
510	6
511	4
512	4
513	4
514	4
515	4
516	4
517	5
518	6
519	5
520	6
521	6
522	7
523	7
524	7
525	7
526	7
527	7
528	7
529	8
530	8
531	8
532	7
533	8
